"Taxon","Trait1","Trait2","Trait3","Trait4","Trait5"
"FUN_Zoopilus_echinatus",-13.8454061676728,53.2052050625378,19.5533909664647,-4.38561731025552,11.1811685328943
"FUN_Podabacia_kunzmanni",-4.91194439174416,55.5394703904184,21.2552890270165,-2.08783311958881,9.43179907785673
"FUN_Podabacia_sinai",-5.17882357769613,57.2022855875164,18.5938897942055,-1.76583898742937,9.00461253012845
"MEA_Meandrina_braziliensis",-31.3888492381451,36.9791533085317,-10.9899051651165,22.1774521031989,12.5796457584578
"MEA_Dichocoenia",-39.3671040112131,45.3349467995424,5.51867894386593,9.8016471622281,22.4700257308408
"MEA_Eusmilia_fastigiata",-32.5751294857314,40.6660444032678,11.6810265596372,15.133856285496,24.1442279410281
"MEA_Meandrina_meandrites",-37.7343110178062,43.8611691475994,8.59541430362221,10.6724663498255,23.677125145752
"MEA_Dendrogyra_cylindrus",-39.9178580692911,40.9680486490304,8.52324525478729,9.85969859080334,19.9338101091561
"CAR_Phyllangia_americana",-37.6940729691727,42.1499989629868,10.3766223231972,9.29940732747922,19.407243378199
"CAR_Rhizosmilia_maculata",-39.0221917736783,45.0307476969898,10.2568720513529,8.37458442341051,18.4297375434135
"FAV_Solenastrea_bournoni",-25.6005335073318,50.8827869025253,-24.7511526432396,23.6543023537868,-6.19296036629405
"CAR_Polycyathus",-54.4445495922084,26.7526448738569,-28.6646166223518,37.2429128624801,0.202437110816135
"CAR_Paracyathus",-43.3094826601049,34.5290417172257,-33.5292074744744,40.2583431973742,2.23764625938548
"FAV_Cladocora_arbuscula",-56.3732130545467,39.7249464668653,-44.7345853244862,29.0752990635551,-2.82966597076661
"FAV_Cladocora_caespitosa",-52.8880275551983,39.9117239675063,-45.4146978021959,32.1554535055402,-7.82132380396694
"RHI_Astrangia",-58.671352704734,24.6281909343711,-25.6069137937588,30.0184521383827,3.64370981771097
"FAV_Solenastrea_hyades",-56.2679954210199,27.3438651393029,-35.1399696504561,31.9420330964684,-1.25166116330666
